epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.804,1.27299,2.99964,0.01009,0.88138,0.83993,0.92211,0.51753,1.49971,0.98409,0.01336,0.000666163,0.000666163,0.000666163
2,990.715,1.35495,0.87601,0.01116,0.91333,0.83208,0.91585,0.47574,1.62955,0.72099,0.01459,0.00128005,0.00128005,0.00128005
3,1457.06,1.36563,0.75843,0.01123,0.93395,0.88214,0.95214,0.58766,1.3816,0.56601,0.01221,0.00184114,0.00184114,0.00184114
4,1923.01,1.33739,0.69841,0.01089,0.94783,0.88649,0.95539,0.59412,1.35208,0.5222,0.01213,0.0017624,0.0017624,0.0017624
5,2380.67,1.3136,0.64196,0.01055,0.95566,0.90901,0.96233,0.62572,1.28898,0.45655,0.01144,0.0016832,0.0016832,0.0016832
6,2848.14,1.28966,0.60194,0.01031,0.94726,0.91825,0.9687,0.64546,1.23683,0.44242,0.01083,0.001604,0.001604,0.001604
7,3314.57,1.26818,0.59002,0.0099,0.9393,0.92214,0.9697,0.65189,1.20589,0.4335,0.00984,0.0015248,0.0015248,0.0015248
8,3779.43,1.24389,0.56573,0.00984,0.96556,0.9212,0.97136,0.63556,1.27074,0.42665,0.01101,0.0014456,0.0014456,0.0014456
9,4249.06,1.22897,0.55397,0.00956,0.96753,0.93647,0.97804,0.66014,1.1996,0.39997,0.01006,0.0013664,0.0013664,0.0013664
10,4718.23,1.20847,0.53178,0.00944,0.96909,0.93152,0.97666,0.65825,1.20425,0.40093,0.01003,0.0012872,0.0012872,0.0012872
11,5190.89,1.20211,0.51953,0.00923,0.97292,0.93152,0.97535,0.66876,1.18253,0.39558,0.00979,0.001208,0.001208,0.001208
12,5653.76,1.18027,0.50591,0.00908,0.97123,0.93715,0.97795,0.66407,1.18199,0.38042,0.00968,0.0011288,0.0011288,0.0011288
13,6110.51,1.16502,0.49105,0.00893,0.97071,0.94184,0.97838,0.67249,1.16883,0.37157,0.00967,0.0010496,0.0010496,0.0010496
14,6565.27,1.15404,0.48467,0.0088,0.96234,0.95263,0.9797,0.6787,1.15594,0.36546,0.00965,0.0009704,0.0009704,0.0009704
15,7013.12,1.14284,0.46548,0.00861,0.96293,0.95029,0.98344,0.6837,1.13494,0.36535,0.00895,0.0008912,0.0008912,0.0008912
16,7444.5,1.10705,0.35743,0.01032,0.97992,0.92636,0.97724,0.67665,1.14857,0.3671,0.00947,0.000812,0.000812,0.000812
17,7868.63,1.08823,0.34289,0.01008,0.97262,0.9496,0.9785,0.6852,1.13887,0.3483,0.00909,0.0007328,0.0007328,0.0007328
18,8307.92,1.07019,0.33919,0.00984,0.96907,0.9531,0.97739,0.68452,1.13947,0.35242,0.00908,0.0006536,0.0006536,0.0006536
19,8737.16,1.05169,0.32778,0.00962,0.97206,0.94635,0.98018,0.68655,1.12844,0.33808,0.00883,0.0005744,0.0005744,0.0005744
20,9168.01,1.03717,0.31733,0.00937,0.97457,0.9528,0.98088,0.68739,1.13112,0.33518,0.00889,0.0004952,0.0004952,0.0004952
21,9591.49,1.01804,0.30923,0.00916,0.98448,0.95197,0.98168,0.69361,1.1185,0.33046,0.00888,0.000416,0.000416,0.000416
22,10031.4,1.00873,0.30452,0.00908,0.98115,0.95199,0.98179,0.69434,1.11065,0.33079,0.00876,0.0003368,0.0003368,0.0003368
23,10472.2,0.99821,0.30038,0.00889,0.98111,0.95017,0.98149,0.69545,1.10432,0.33671,0.00874,0.0002576,0.0002576,0.0002576
24,10913.7,0.982,0.29368,0.00874,0.98479,0.9531,0.98184,0.696,1.10873,0.33129,0.00874,0.0001784,0.0001784,0.0001784
25,11359.2,0.97497,0.29323,0.0086,0.98436,0.9531,0.98181,0.6945,1.1092,0.33033,0.00875,9.92e-05,9.92e-05,9.92e-05
